epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.652,1.16304,3.49218,1.57558,0.3747,0.4,0.35114,0.15782,1.29497,5.9758,1.90719,0.000662037,0.000662037,0.000662037
2,579.754,1.20198,3.49424,1.62645,0.55223,0.8,0.73143,0.32276,1.51755,6.25235,2.25576,0.00126891,0.00126891,0.00126891
3,869.417,1.45282,2.79532,1.81563,0.90556,0.5,0.73248,0.39694,1.26007,3.82689,1.85968,0.00181579,0.00181579,0.00181579
4,1157.49,1.42186,2.73724,1.7302,0.49591,0.9,0.81137,0.50927,1.04079,5.64974,1.58848,0.00173,0.00173,0.00173
5,1451.61,1.4185,2.08984,1.71314,0.87414,0.8,0.88934,0.61791,0.99879,2.18773,1.58274,0.00164,0.00164,0.00164
6,1740.96,1.28018,1.96769,1.59716,0.43381,0.7,0.62358,0.35901,1.05127,3.08594,1.71035,0.00155,0.00155,0.00155
7,2060.32,1.20503,1.76201,1.57782,0.87238,0.9,0.9375,0.72818,0.88713,1.82221,1.57975,0.00146,0.00146,0.00146
8,2366.78,1.19347,1.83976,1.52774,1,0.89089,0.97833,0.665,0.98435,1.4155,1.49436,0.00137,0.00137,0.00137
9,2652.71,1.25406,1.69455,1.61099,0.86603,0.9,0.87705,0.58085,1.12337,1.64675,1.67423,0.00128,0.00128,0.00128
10,2957.84,1.12237,1.5293,1.49953,0.98592,0.9,0.97192,0.75896,0.69419,1.22484,1.26027,0.00119,0.00119,0.00119
11,3293.33,1.1084,1.4236,1.49037,0.88972,0.9,0.96192,0.77674,0.74839,0.89037,1.36315,0.0011,0.0011,0.0011
12,3638.28,1.07706,1.38818,1.44184,0.9082,0.99019,0.96773,0.72396,0.82477,0.84729,1.38048,0.00101,0.00101,0.00101
13,3973.14,0.9127,1.53162,1.47196,0.98989,1,0.995,0.72615,0.79992,0.95794,1.32224,0.00092,0.00092,0.00092
14,4272.97,0.84848,1.26274,1.42415,0.99072,1,0.995,0.85179,0.60459,0.83,1.18226,0.00083,0.00083,0.00083
15,4561.64,0.73536,1.19087,1.28564,1,0.99329,0.995,0.80452,0.86057,0.68676,1.44676,0.00074,0.00074,0.00074
16,4850.66,0.74882,1.2383,1.25946,0.99087,0.9,0.98591,0.7526,0.92701,0.96087,1.38987,0.00065,0.00065,0.00065
17,5138.2,0.71556,1.18465,1.25193,0.97775,1,0.995,0.80073,0.72059,0.73266,1.23884,0.00056,0.00056,0.00056
18,5426.49,0.71312,1.17317,1.26048,0.99776,1,0.995,0.82611,0.68978,0.60543,1.22033,0.00047,0.00047,0.00047
19,5715.26,0.65352,0.94264,1.21269,1,0.87897,0.97833,0.78644,0.7537,0.59763,1.33665,0.00038,0.00038,0.00038
20,6003.49,0.65678,0.85043,1.24953,0.99616,1,0.995,0.82178,0.80716,0.5712,1.30468,0.00029,0.00029,0.00029
21,6292.04,0.61115,0.71775,1.19109,0.99405,1,0.995,0.83303,0.71955,0.59856,1.25807,0.0002,0.0002,0.0002
22,6578.39,0.59491,0.72744,1.1924,0.99422,1,0.995,0.8265,0.72285,0.55959,1.22469,0.00011,0.00011,0.00011
